"nationality","year","value"
"Portugal",1997,143264
"Spain",1997,95645
"Turkey",1997,84117
"Other European country",1997,96296
"Africa",1997,43586
"Americas",1997,44505
"Asia",1997,83848
"Oceania",1997,2174
"Unknown",1997,836
"Ex-Yugoslavia",1997,349824
"Germany",1998,104124
"France",1998,60090
"Italy",1998,338917
"Austria",1998,29453
"Portugal",1998,140767
"Spain",1998,91913
"Turkey",1998,83986
"Other European country",1998,97449
"Africa",1998,46652
"Americas",1998,46510
"Asia",1998,88919
"Oceania",1998,2339
"Unknown",1998,787
"Ex-Yugoslavia",1998,367243
"Germany",1999,109960
"France",1999,62865
"Italy",1999,332205
"Austria",1999,29718
"Portugal",1999,140451
"Spain",1999,88232
"Turkey",1999,84020
"Other European country",1999,100233
"Africa",1999,49798
"Americas",1999,48754
"Asia",1999,93311
"Oceania",1999,2652
"Unknown",1999,1000
"Ex-Yugoslavia",1999,393781
"Germany",2000,118360
"France",2000,64950
"Italy",2000,325884
"Austria",2000,30761
"Portugal",2000,141483
"Spain",2000,84979
"Turkey",2000,83446
"Other European country",2000,104618
"Africa",2000,52145
"Americas",2000,51345
"Asia",2000,96960
"Oceania",2000,2921
"Unknown",2000,1099
"Ex-Yugoslavia",2000,368066
"Germany",2001,127088
"France",2001,66372
"Italy",2001,319909
"Austria",2001,31896
"Portugal",2001,143353
"Spain",2001,82562
"Turkey",2001,83750
"Other European country",2001,110762
"Africa",2001,54880
"Americas",2001,54829
"Asia",2001,99542
"Oceania",2001,3275
"Unknown",2001,1447
"Ex-Yugoslavia",2001,367593
"Germany",2002,139231
"France",2002,69322
"Italy",2002,315574
"Austria",2002,33868
"Portugal",2002,151839
"Spain",2002,80680
"Turkey",2002,83494
"Other European country",2002,116594
"Africa",2002,61047
"Americas",2002,57884
"Asia",2002,105017
"Oceania",2002,3487
"Unknown",2002,1989
"Ex-Yugoslavia",2002,370827
"Germany",2003,151095
"France",2003,71640
"Italy",2003,311961
"Austria",2003,34665
"Portugal",2003,164729
"Spain",2003,78660
"Turkey",2003,82133
"Other European country",2003,119778
"Africa",2003,64917
"Americas",2003,59814
"Asia",2003,109100
"Oceania",2003,3433
"Unknown",2003,2520
"Ex-Yugoslavia",2003,368853
"Germany",2004,163924
"France",2004,74001
"Italy",2004,307721
"Austria",2004,35033
"Portugal",2004,173280
"Spain",2004,76080
"Turkey",2004,80475
"Other European country",2004,123435
"Africa",2004,65226
"Americas",2004,61766
"Asia",2004,108780
"Oceania",2004,3453
"Unknown",2004,1785
"Ex-Yugoslavia",2004,363824
"Germany",2005,181196
"France",2005,76382
"Italy",2005,303456
"Austria",2005,35410
"Portugal",2005,180765
"Spain",2005,73137
"Turkey",2005,78724
"Other European country",2005,127529
"Africa",2005,64841
"Americas",2005,64232
"Asia",2005,108481
"Oceania",2005,3427
"Unknown",2005,1409
"Ex-Yugoslavia",2005,356494
"Germany",2006,201497
"France",2006,79528
"Italy",2006,299074
"Austria",2006,35479
"Portugal",2006,187019
"Spain",2006,69999
"Turkey",2006,76802
"Other European country",2006,135145
"Africa",2006,65578
"Americas",2006,65963
"Asia",2006,107717
"Oceania",2006,3524
"Unknown",2006,1311
"Ex-Yugoslavia",2006,345528
"Germany",2007,224324
"France",2007,83129
"Italy",2007,295507
"Austria",2007,36155
"Portugal",2007,193299
"Spain",2007,66520
"Turkey",2007,75391
"Other European country",2007,143419
"Africa",2007,66745
"Americas",2007,69016
"Asia",2007,109266
"Oceania",2007,3777
"Unknown",2007,1187
"Ex-Yugoslavia",2007,336448
"Germany",2008,251527
"France",2008,90004
"Italy",2008,295066
"Austria",2008,37282
"Portugal",2008,205545
"Spain",2008,65774
"Turkey",2008,74147
"Other European country",2008,154395
"Africa",2008,71026
"Americas",2008,72906
"Asia",2008,113065
"Oceania",2008,4071
"Unknown",2008,1219
"Ex-Yugoslavia",2008,327582
"Germany",2009,265944
"France",2009,94814
"Italy",2009,293933
"Austria",2009,37973
"Portugal",2009,213232
"Spain",2009,65687
"Turkey",2009,73275
"Other European country",2009,165552
"Africa",2009,73553
"Americas",2009,75934
"Asia",2009,116398
"Oceania",2009,4174
"Unknown",2009,1314
"Ex-Yugoslavia",2009,320503
"Africa",2010,75382
"Africa",2011,81233
"Africa",2012,86818
"Africa",2013,88299
"Africa",2014,95161
"Africa",2015,104642
"Africa",2016,108554
"Americas",2010,79089
"Americas",2011,81358
"Americas",2012,81954
"Americas",2013,82583
"Americas",2014,83390
"Americas",2015,83083
"Americas",2016,82732
"Asia",2010,118100
"Asia",2011,121839
"Asia",2012,126465
"Asia",2013,131986
"Asia",2014,140016
"Asia",2015,158138
"Asia",2016,164743
"Austria",2010,38552
"Austria",2011,39702
"Austria",2012,40424
"Austria",2013,41188
"Austria",2014,42126
"Austria",2015,43018
"Austria",2016,43577
"Ex-Yugoslavia",2010,313496
"Ex-Yugoslavia",2011,311269
"Ex-Yugoslavia",2012,308815
"Ex-Yugoslavia",2013,307739
"Ex-Yugoslavia",2014,308035
"Ex-Yugoslavia",2015,308090
"Ex-Yugoslavia",2016,308156
"France",2010,99777
"France",2011,104056
"France",2012,108310
"France",2013,114704
"France",2014,121944
"France",2015,127609
"France",2016,131966
"Germany",2010,278726
"Germany",2011,291731
"Germany",2012,298422
"Germany",2013,305846
"Germany",2014,311939
"Germany",2015,314309
"Germany",2016,315715
"Italy",2010,291747
"Italy",2011,292877
"Italy",2012,297334
"Italy",2013,305439
"Italy",2014,313497
"Italy",2015,318789
"Italy",2016,323511
"Oceania",2010,4269
"Oceania",2011,4331
"Oceania",2012,4399
"Oceania",2013,4369
"Oceania",2014,4467
"Oceania",2015,4483
"Oceania",2016,4451
"Other European country",2010,177559
"Other European country",2011,193071
"Other European country",2012,207518
"Other European country",2013,223845
"Other European country",2014,238338
"Other European country",2015,251242
"Other European country",2016,262408
"Portugal",2010,221641
"Portugal",2011,233982
"Portugal",2012,248911
"Portugal",2013,262987
"Portugal",2014,271230
"Portugal",2015,274810
"Portugal",2016,275510
"Spain",2010,65407
"Spain",2011,67839
"Spain",2012,72434
"Spain",2013,78693
"Spain",2014,82785
"Spain",2015,84968
"Spain",2016,85866
"Turkey",2010,72385
"Turkey",2011,72092
"Turkey",2012,71494
"Turkey",2013,70924
"Turkey",2014,70452
"Turkey",2015,69704
"Turkey",2016,69312
"Unknown",2010,982
"Unknown",2011,1343
"Unknown",2012,1332
"Unknown",2013,1541
"Unknown",2014,1967
"Unknown",2015,2268
"Unknown",2016,2408
